Station,ex.prob,site.no,z,site,flow,logZ,logQ
183.594132929,50,1,2.1650882300000376,I5,1354,0.7724611135109303,7.21081845347222
183.632586976,50,1,2.2440900699998565,I5,1354,0.8083001250010396,7.21081845347222
183.675763384,50,1,2.409513380000135,I5,1354,0.879424810102187,7.21081845347222
183.713625706,50,1,3.3866403600000012,I5,1354,1.2198383857355222,7.21081845347222
183.752078037,50,1,4.873167409999951,I5,1354,1.5837441178782714,7.21081845347222
183.789979644,50,1,4.891519320000043,I5,1354,1.5875029546162336,7.21081845347222
183.821880283,50,1,4.447774910000135,I5,1354,1.49240395090166,7.21081845347222
183.858113597,50,1,3.7288971500001935,I5,1354,1.3161125196954255,7.21081845347222
183.890109596,50,1,2.0496520299998338,I5,1354,0.7176700372791085,7.21081845347222
183.919598248,50,1,2.1734445199999755,I5,1354,0.77631324547104,7.21081845347222
183.950260148,50,1,3.009108770000239,I5,1354,1.101643945216657,7.21081845347222
183.984017251,50,1,1.9647910600001524,I5,1354,0.675385908878979,7.21081845347222
184.018818659,50,1,1.906196099999761,I5,1354,0.6451096855638663,7.21081845347222
184.052821251,50,1,4.080686379999861,I5,1354,1.4062652046590476,7.21081845347222
184.077299839,50,1,6.087570550000237,I5,1354,1.8062490776639732,7.21081845347222
184.110000941,50,1,4.668181080000068,I5,1354,1.5407695054457216,7.21081845347222
184.147650279,50,1,4.072841100000005,I5,1354,1.4043408148927279,7.21081845347222
184.184375342,50,1,2.947160559999702,I5,1354,1.080842184795939,7.21081845347222
184.211755889,50,1,2.6865470499997173,I5,1354,0.9882567445266673,7.21081845347222
184.248575638,50,1,2.169767630000024,I5,1354,0.7746200788692821,7.21081845347222
184.27960169,50,1,2.698460139999952,I5,1354,0.9926812917982798,7.21081845347222
184.314348079,50,1,4.3386805000000095,I5,1354,1.4675702696270743,7.21081845347222
184.352665092,50,1,3.3646061200001895,I5,1354,1.2133109042396832,7.21081845347222
184.3902232,50,1,2.636777070000335,I5,1354,0.9695573645484861,7.21081845347222
184.420383143,50,1,2.734896160000062,I5,1354,1.0060934680599631,7.21081845347222
184.453070041,50,1,3.124348530000134,I5,1354,1.1392257910554333,7.21081845347222
184.484415838,50,1,5.596759349999957,I5,1354,1.7221877427368597,7.21081845347222
184.515150547,50,1,4.774127889999818,I5,1354,1.5632113164140902,7.21081845347222
184.543230982,50,1,5.3936897799999315,I5,1354,1.6852297110132177,7.21081845347222
184.579898817,50,1,2.711071929999889,I5,1354,0.9973441028092837,7.21081845347222
184.622748343,50,1,1.7962816400004158,I5,1354,0.585718772730796,7.21081845347222
184.655935275,50,1,2.3492205400002604,I5,1354,0.8540835880301241,7.21081845347222
184.690414044,50,1,3.448678569999629,I5,1354,1.2379911344826375,7.21081845347222
184.727521248,50,1,4.925968130000001,I5,1354,1.5945208299250828,7.21081845347222
184.770149449,50,1,4.069932400000198,I5,1354,1.4036263899800063,7.21081845347222
184.809082148,50,1,4.752496539999811,I5,1354,1.5586700673422675,7.21081845347222
184.84769061,50,1,5.745314260000214,I5,1354,1.7483846112842323,7.21081845347222
184.889763288,50,1,5.268019729999651,I5,1354,1.661654529128321,7.21081845347222
184.931918839,50,1,2.921566040000016,I5,1354,1.0721197875831627,7.21081845347222
184.970345767,50,1,2.5456759200001216,I5,1354,0.9343962021667628,7.21081845347222
6.00814965679,75,11,3.8427135330000004,KAT,3691.5,1.3461787662593867,8.21378815849922
6.04051955213,75,11,3.16220607,KAT,3691.5,1.151269907441746,8.21378815849922
6.08116115954,75,11,3.821216484,KAT,3691.5,1.3405688232325286,8.21378815849922
6.11788882576,75,11,5.968016089,KAT,3691.5,1.786414558775842,8.21378815849922
6.14798697651,75,11,9.051031115999999,KAT,3691.5,2.202878686691295,8.21378815849922
6.17771797085,75,11,8.581892617000001,KAT,3691.5,2.149654473906571,8.21378815849922
6.2034798517,75,11,9.202415264,KAT,3691.5,2.219465978296019,8.21378815849922
6.22989075836,75,11,9.781269632999999,KAT,3691.5,2.28046929494608,8.21378815849922
6.26397811315,75,11,10.132878524,KAT,3691.5,2.315785436236817,8.21378815849922
6.2905192571,75,11,10.224900913,KAT,3691.5,2.3248260112217642,8.21378815849922
6.32030933981,75,11,8.540309856,KAT,3691.5,2.144797290046251,8.21378815849922
6.35378671947,75,11,6.281859633,KAT,3691.5,1.8376660565497203,8.21378815849922
6.38466079055,75,11,4.776831304,KAT,3691.5,1.5637774195703213,8.21378815849922
6.41722124084,75,11,4.464950989999999,KAT,3691.5,1.4962582377844575,8.21378815849922
6.45027960463,75,11,3.6566839630000008,KAT,3691.5,1.2965567156898845,8.21378815849922
6.48349069361,75,11,1.5945869039999998,KAT,3691.5,0.46661470833461033,8.21378815849922
6.51689216525,75,11,3.4968099749999997,KAT,3691.5,1.2518511171709978,8.21378815849922
6.54457147123,75,11,2.928240831,KAT,3691.5,1.0744018437412253,8.21378815849922
6.57654226906,75,11,1.601622153,KAT,3691.5,0.47101696127636755,8.21378815849922
6.60709938828,75,11,0.9532375000000002,KAT,3691.5,-0.047891193364796476,8.21378815849922
6.64908467156,75,11,2.4090809760000003,KAT,3691.5,0.8792453370154945,8.21378815849922
6.67818387413,75,11,4.781045274999999,KAT,3691.5,1.5646591993753256,8.21378815849922
6.6991430942,75,11,5.007668733000001,KAT,3691.5,1.6109704840460533,8.21378815849922
6.72722682398,75,11,4.414442736000001,KAT,3691.5,1.4848816054778802,8.21378815849922
6.76433280522,75,11,3.602669326,KAT,3691.5,1.2816750501464365,8.21378815849922
6.79745034453,75,11,4.046027060999999,KAT,3691.5,1.3977354270573439,8.21378815849922
6.82476551783,75,11,5.180450785000001,KAT,3691.5,1.6448920766162858,8.21378815849922
6.86160368517,75,11,5.696301359,KAT,3691.5,1.7398170798379509,8.21378815849922
6.89155001474,75,11,4.476268137999999,KAT,3691.5,1.498789694374795,8.21378815849922
6.92606576602,75,11,5.290837704,KAT,3691.5,1.6659765894768648,8.21378815849922
6.95654486046,75,11,6.072323482,KAT,3691.5,1.8037413130484763,8.21378815849922
6.99467783981,75,11,7.666017931000001,KAT,3691.5,2.0367973059851088,8.21378815849922
7.03357962383,75,11,9.851168396,KAT,3691.5,2.287590067032583,8.21378815849922
7.05716890592,75,11,10.957302508,KAT,3691.5,2.3940061296941475,8.21378815849922
7.08855709378,75,11,7.269755658,KAT,3691.5,1.983722681352001,8.21378815849922
7.11940728216,75,11,6.405807085,KAT,3691.5,1.8572049359973237,8.21378815849922
7.15213790441,75,11,7.0678116200000005,KAT,3691.5,1.9555509015838726,8.21378815849922
7.18217144172,75,11,9.450487161,KAT,3691.5,2.2460662916054934,8.21378815849922
7.20882865527,75,11,12.465767889999999,KAT,3691.5,2.5229863187684245,8.21378815849922
7.23064517106,75,11,14.382963522,KAT,3691.5,2.66604441742998,8.21378815849922
7.26111867196,75,11,6.69565111,KAT,3691.5,1.901458227588363,8.21378815849922
7.28349947397,75,11,4.00040581,KAT,3691.5,1.3863958084739338,8.21378815849922
7.31174895232,75,11,3.6496833299999993,KAT,3691.5,1.294640404926519,8.21378815849922
7.33960912084,75,11,3.370792001999999,KAT,3691.5,1.2151477321827369,8.21378815849922
7.36146552515,75,11,3.264667633,KAT,3691.5,1.1831579606095217,8.21378815849922
7.3911659363,75,11,3.1917134039999997,KAT,3691.5,1.160557889842298,8.21378815849922
7.42433881875,75,11,3.249318087,KAT,3691.5,1.178445154941864,8.21378815849922
7.46461875946,75,11,3.0763508980000003,KAT,3691.5,1.123744121210039,8.21378815849922
7.49744886999,75,11,2.684745565,KAT,3691.5,0.9875859618319266,8.21378815849922
7.52648412397,75,11,2.8876536979999994,KAT,3691.5,1.060444303175901,8.21378815849922
7.5633597155,75,11,2.9755569709999996,KAT,3691.5,1.090431238617508,8.21378815849922
7.60030780932,75,11,3.1139419849999994,KAT,3691.5,1.135889442859325,8.21378815849922
7.64103074948,75,11,3.047794401000001,KAT,3691.5,1.1144181818091368,8.21378815849922
7.67969759034,75,11,3.405983267,KAT,3691.5,1.2255336694274892,8.21378815849922
7.71089556025,75,11,4.773716190999999,KAT,3691.5,1.563125077259663,8.21378815849922
7.74523887664,75,11,5.488995536000001,KAT,3691.5,1.702745276304532,8.21378815849922
7.78012075391,75,11,4.385193756,KAT,3691.5,1.4782338109369093,8.21378815849922
7.81467792029,75,11,3.760069156,KAT,3691.5,1.3244373497858537,8.21378815849922
7.84895707674,75,11,4.096841482,KAT,3691.5,1.410216306578718,8.21378815849922
7.88767134425,75,11,4.028855193,KAT,3691.5,1.39348226438684,8.21378815849922
7.91975573157,75,11,3.9538432740000005,KAT,3691.5,1.3746880866335587,8.21378815849922
7.94485046937,75,11,3.6332261310000007,KAT,3691.5,1.2901209949023429,8.21378815849922
7.97054887481,75,11,3.7442845059999996,KAT,3691.5,1.3202305455786905,8.21378815849922
8.00684119441,75,11,2.4270954149999984,KAT,3691.5,0.8866952399395515,8.21378815849922
8.03872924011,75,11,3.2742023479999993,KAT,3691.5,1.1860742815595866,8.21378815849922
8.06269769593,75,11,4.312309353,KAT,3691.5,1.4614735733802757,8.21378815849922
8.09633043368,75,11,5.310078225,KAT,3691.5,1.669606566783756,8.21378815849922
8.12723080999,75,11,7.11174135,KAT,3691.5,1.9617471294400315,8.21378815849922
8.15541297304,75,11,9.451098337,KAT,3691.5,2.246130960889483,8.21378815849922
8.19051510661,75,11,12.267544354,KAT,3691.5,2.5069571045449797,8.21378815849922
8.22199222853,75,11,12.669806961,KAT,3691.5,2.539221758305378,8.21378815849922
8.24469693469,75,11,13.288286361,KAT,3691.5,2.5868829224249654,8.21378815849922
8.27589982538,75,11,12.010081072,KAT,3691.5,2.4857463864437963,8.21378815849922
8.2969811125,75,11,11.790289703000001,KAT,3691.5,2.4672762861727553,8.21378815849922
8.3250229971,75,11,11.024546729,KAT,3691.5,2.4001243074718737,8.21378815849922
8.35084064659,75,11,8.980665303999999,KAT,3691.5,2.1950739668749017,8.21378815849922
8.36839814951,75,11,7.10896533,KAT,3691.5,1.9613567100188694,8.21378815849922
8.39665479679,75,11,6.480143096999999,KAT,3691.5,1.8687425929907306,8.21378815849922
8.42674263611,75,11,7.623437129,KAT,3691.5,2.0312273347964083,8.21378815849922
8.4591922039,75,11,7.989589991,KAT,3691.5,2.0781394431924234,8.21378815849922
8.48143765301,75,11,9.302319284,KAT,3691.5,2.2302637544441906,8.21378815849922
8.50394786883,75,11,6.675184075000001,KAT,3691.5,1.8983967806851072,8.21378815849922
8.52463503447,75,11,10.189390850999999,KAT,3691.5,2.3213470663506377,8.21378815849922
8.5542955819,75,11,8.40832632,KAT,3691.5,2.129222443478054,8.21378815849922
8.58419615391,75,11,5.672430105999998,KAT,3691.5,1.7356176160446044,8.21378815849922
8.62042460222,75,11,5.594057664999999,KAT,3691.5,1.7217049030927436,8.21378815849922
8.65976873707,75,11,5.344815147999999,KAT,3691.5,1.6761269597816775,8.21378815849922
8.69548083682,75,11,8.320345699,KAT,3691.5,2.1187038043305018,8.21378815849922
8.7318695976,75,11,9.736262467,KAT,3691.5,2.2758573137236624,8.21378815849922
8.76732175308,75,11,11.649155926,KAT,3691.5,2.455233724683023,8.21378815849922
8.80208397014,75,11,10.516800947,KAT,3691.5,2.3529740685735727,8.21378815849922
8.83331748979,75,11,7.5994729109999994,KAT,3691.5,2.028078891071409,8.21378815849922
8.85649624583,75,11,4.362173948000001,KAT,3691.5,1.472970545021927,8.21378815849922
8.88936356957,75,11,2.047465472999999,KAT,3691.5,0.7166026735992419,8.21378815849922
8.92174852695,75,11,1.9906166689999996,KAT,3691.5,0.6884444746518938,8.21378815849922
8.95639689095,75,11,1.9587640910000008,KAT,3691.5,0.672313708535862,8.21378815849922
8.99049285502,75,11,2.737076707,KAT,3691.5,1.0068904556066338,8.21378815849922
9.02804946906,75,11,4.483048738000001,KAT,3691.5,1.5003033368518814,8.21378815849922
9.06915119123,75,11,6.349098826999999,KAT,3691.5,1.8483128858255546,8.21378815849922
9.09962538883,75,11,6.327297969,KAT,3691.5,1.8448732838874942,8.21378815849922
9.13387452278,75,11,5.943081594999999,KAT,3691.5,1.7822277858881195,8.21378815849922
9.17358527622,75,11,5.412151966,KAT,3691.5,1.6886467893673884,8.21378815849922
9.20897091234,75,11,2.4927073979999985,KAT,3691.5,0.9133694282186728,8.21378815849922
9.24065963586,75,11,1.9416326940000008,KAT,3691.5,0.6635292139782263,8.21378815849922
9.27738378192,75,11,NA,KAT,3691.5,NA,8.21378815849922
9.30864290858,75,11,NA,KAT,3691.5,NA,8.21378815849922
9.34083458919,75,11,1.1127128840000005,KAT,3691.5,0.10680107315645156,8.21378815849922
9.369363881,75,11,1.5887631839999994,KAT,3691.5,0.46295584183485294,8.21378815849922
9.39852074262,75,11,2.2120297220000005,KAT,3691.5,0.7939105202786776,8.21378815849922
9.43463157015,75,11,2.3687904280000023,KAT,3691.5,0.8623794569325083,8.21378815849922
9.46997729387,75,11,1.3005635170000023,KAT,3691.5,0.2627976451598975,8.21378815849922
9.49635023944,75,11,1.2905422520000016,KAT,3691.5,0.2550624804387048,8.21378815849922
9.52196951353,75,11,2.1418047499999986,KAT,3691.5,0.7616488147429397,8.21378815849922
9.55534637649,75,11,2.994941907000001,KAT,3691.5,1.0969248347181935,8.21378815849922
9.59639775249,75,11,3.543547425,KAT,3691.5,1.2651283228388361,8.21378815849922
9.63753798705,75,11,3.207687086,KAT,3691.5,1.1655501434761866,8.21378815849922
9.67069453593,75,11,3.828773804000001,KAT,3691.5,1.342544596318228,8.21378815849922
9.69933041555,75,11,3.900822182999999,KAT,3691.5,1.361187347070844,8.21378815849922
9.73725136384,75,11,3.701495187999999,KAT,3691.5,1.3087368428866626,8.21378815849922
9.77530311653,75,11,3.3568399660000026,KAT,3691.5,1.2110000451308536,8.21378815849922
9.81304405361,75,11,4.629198893000002,KAT,3691.5,1.5323838278575657,8.21378815849922
9.85104406371,75,11,6.381208105000001,KAT,3691.5,1.8533574375811772,8.21378815849922
9.8927403213,75,11,7.861529724,KAT,3691.5,2.0619812088788785,8.21378815849922
9.93005110685,75,11,7.764489990999998,KAT,3691.5,2.0495607739542168,8.21378815849922
9.96721567239,75,11,8.822730768000001,KAT,3691.5,2.1773314329834945,8.21378815849922
10.0048224688,75,11,10.023528391,KAT,3691.5,2.3049351685021398,8.21378815849922
10.0336945966,75,11,11.536647142000001,KAT,3691.5,2.445528676576671,8.21378815849922
10.0709138407,75,11,18.654178981,KAT,3691.5,2.926070195037242,8.21378815849922
